Token,SHAP Importance,Importance Ratio,Cumulative Importance
rt,4.709407026957324e+19,0.003587165232246379,0.6395321358882269
dead,4.666610169974982e+19,0.0035545667763181247,0.643086702664545
rest,4.5867716949024825e+19,0.003493753642024087,0.6465804563065691
suck,4.584960178251849e+19,0.003492373805983246,0.6500728301125523
vote,4.411064034267502e+19,0.0033599167475570637,0.6534327468601094
course,4.384405988792311e+19,0.003339611258279779,0.6567723581183892
number,4.3186607571411255e+19,0.003289532977125668,0.6600618910955148
idiot,4.289094364124753e+19,0.003267012193412525,0.6633289032889274
hard,4.154988974120074e+19,0.0031648638359382227,0.6664937671248655
soros,4.11035588272783e+19,0.003130866716399933,0.6696246338412655
report,4.08771460904323e+19,0.0031136208106393413,0.6727382546519048
begin,4.08045296159078e+19,0.003108089598509841,0.6758463442504147
space,4.0779635006371045e+19,0.0031061933708682416,0.6789525376212829
away,4.0747835857426375e+19,0.003103771223008513,0.6820563088442915
spend,4.056105743215713e+19,0.003089544271092394,0.6851458531153839
ball,4.043499838580708e+19,0.0030799423270325877,0.6882257954424165
fucked,3.983198389198064e+19,0.0030340105862759936,0.6912598060286924
monkey,3.962387462057004e+19,0.003018158859325254,0.6942779648880176
enemy,3.955416595703684e+19,0.0030128491357702225,0.6972908140237879
wait,3.954847299852971e+19,0.003012415501923997,0.7003032295257119
wont,3.885564435947419e+19,0.0029596425988451516,0.7032628721245571
waiting,3.857558098082703e+19,0.0029383101124204726,0.7062011822369776
oh,3.844512286107875e+19,0.0029283730900151778,0.7091295553269927
send,3.826328614008445e+19,0.002914522548752495,0.7120440778757452
id,3.781436899436945e+19,0.0028803284353949043,0.7149244063111401
going,3.77244598378093e+19,0.002873480036039592,0.7177978863471797
wife,3.736767823000419e+19,0.0028463039059727384,0.7206441902531524
foid,3.6643727539183755e+19,0.0027911604296686813,0.723435350682821
thanks,3.6445326666749506e+19,0.002776048193508807,0.7262113988763299
thing,3.6013798556508643e+19,0.002743178606638693,0.7289545774829685
hate,3.5845576429113573e+19,0.0027303650918324355,0.731684942574801
place,3.4905418460895502e+19,0.0026587530617592954,0.7343436956365603
current,3.4712775084288995e+19,0.002644079375266924,0.7369877750118272
easily,3.4517943646394114e+19,0.0026292390236862576,0.7396170140355135
need,3.407175583882722e+19,0.002595252804589152,0.7422122668401027
really,3.276550732147721e+19,0.002495755580431428,0.7447080224205341
word,3.2612494295840068e+19,0.002484100546103231,0.7471921229666374
thank,3.2528909563851383e+19,0.0024777338794970075,0.7496698568461344
say,3.252696082899376e+19,0.0024775854439532522,0.7521474422900877
lying,3.2469781868350018e+19,0.0024732301105012244,0.7546206724005889
mean,3.239137527044712e+19,0.002467257863456829,0.7570879302640457
female,3.1823854516196712e+19,0.0024240296883050075,0.7595119599523508
state,3.1487295674419003e+19,0.0023983939305775616,0.7619103538829284
men,3.1353077186307957e+19,0.0023881704801235943,0.764298524363052
actually,3.1283362876385653e+19,0.002382860326481918,0.766681384689534
ground,3.1251339895364297e+19,0.002380421129285856,0.7690618058188198
12,3.1236059072398275e+19,0.0023792571857882976,0.7714410630046081
deserve,3.070348889567915e+19,0.0023386912034741194,0.7737797542080822
exist,3.0617661060018205e+19,0.0023321536791896494,0.7761119078872718
wouldnt,3.0231542075881976e+19,0.0023027429150005397,0.7784146508022723
hang,2.978107074024499e+19,0.0022684304186698797,0.7806830812209422
reason,2.9694265454796554e+19,0.0022618184418296224,0.7829448996627718
lmao,2.9401157691093934e+19,0.0022394923618531625,0.785184392024625
daily,2.909246598549483e+19,0.002215979249746491,0.7874003712743715
stand,2.8749228989833114e+19,0.002189834815633861,0.7895902060900053
wall,2.8471366222362796e+19,0.0021686699502251206,0.7917588760402304
youll,2.8202098418497987e+19,0.00214815976500099,0.7939070358052314
ha,2.801438929663487e+19,0.0021338619217296704,0.7960408977269611
fact,2.800576243212692e+19,0.0021332048116466155,0.7981741025386077
potential,2.770029009918148e+19,0.0021099369198317296,0.8002840394584394
damage,2.7631183858742706e+19,0.0021046730829704383,0.8023887125414099
gender,2.745313711651155e+19,0.0020911112251868484,0.8044798237665968
