Token,SHAP Importance,Importance Ratio,Cumulative Importance
rd,0.003169171462218727,0.000128547073558454,0.931287505669564
C,0.0031682725113934217,0.00012851061055882033,0.9314160162801228
 DF,0.003158014552253816,0.0001280945300015521,0.9315441108101243
 nos,0.0031568113328372216,0.0001280457253418182,0.9316721565354662
ten,0.003143120252715996,0.0001274903914621531,0.9317996469269284
mer,0.0031416767276823522,0.00012743183959113715,0.9319270787665196
NT,0.003141676727682352,0.00012743183959113713,0.9320545106061108
80,0.0031406234286335947,0.00012738911596071393,0.9321818997220714
vita,0.0031357616186141967,0.00012719191254094274,0.9323090916346124
 seguridad,0.003133812453597784,0.0001271128510380454,0.9324362044856505
 sang,0.0031252452172338963,0.00012676534911958172,0.93256296983477
 2021,0.003118158569559455,0.0001264779024380912,0.9326894477372082
 JA,0.0031124185206312122,0.00012624507612982595,0.932815692813338
 cosas,0.0031103906155164752,0.00012616282079241003,0.9329418556341303
 O,0.0031101903715540493,0.00012615469855110047,0.9330680103326815
versión,0.003110182336108251,0.00012615437261952672,0.933194164705301
 matrimonio,0.003110182336108251,0.00012615437261952672,0.9333203190779206
 Pro,0.003109379869778784,0.00012612182319785234,0.9334464409011184
 pen,0.003108484685739923,0.00012608551298558908,0.9335725264141039
 pes,0.0031058298989984335,0.0001259778302456021,0.9336985042443495
lau,0.0030983093194663523,0.00012567278253775867,0.9338241770268872
 ter,0.003089862254758676,0.0001253301549894308,0.9339495071818766
 de,0.003084618769390472,0.00012511747015764914,0.9340746246520343
 Pe,0.003081674998005231,0.00012499806570089787,0.9341996227177352
 Die,0.0030815160522858305,0.00012499161858772423,0.9343246143363229
cis,0.0030815160522858305,0.00012499161858772423,0.9344496059549106
 ¿,0.0030769332291177504,0.00012480573135697145,0.9345744116862675
bes,0.0030759116634726524,0.00012476429488826325,0.9346991759811558
 tiene,0.0030712872799337743,0.00012457672189701886,0.9348237527030528
 gran,0.0030672194118360205,0.00012441172213420326,0.934948164425187
 van,0.003065359731077809,0.00012433629026752425,0.9350725007154546
 ud,0.0030641869220140202,0.00012428871910427538,0.9351967894345589
" ,",0.003063850547438695,0.00012427507516995595,0.9353210645097289
 usan,0.003061781026736106,0.00012419113183234927,0.9354452556415612
 import,0.003054852944915002,0.00012391011685600813,0.9355691657584172
 esa,0.0030539714952095578,0.00012387436373205297,0.9356930401221493
 Sp,0.0030534304678440094,0.00012385241872674626,0.935816892540876
 figura,0.0030513168765335446,0.00012376668780909227,0.9359406592286851
esa,0.0030476627871394157,0.00012361847162586077,0.936064277700311
 culto,0.0030440704276164373,0.0001234727593129254,0.9361877504596239
 Pastor,0.0030369575859771833,0.00012318425015893638,0.9363109347097828
 5e,0.0030315549423297248,0.00012296510959218594,0.936433899819375
A,0.0030302434677229786,0.00012291191391478152,0.9365568117332898
 Ali,0.003024960635229945,0.00012269763309559115,0.9366795093663853
 debe,0.003018028162164139,0.00012241644000277304,0.9368019258063881
tra,0.003016892713619685,0.00012237038424677945,0.9369242961906349
 fuerza,0.0030152727849781513,0.0001223046771404505,0.9370466008677754
